Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-10 04:00:00-05:00,120.6,121.47,119.63,120.63,0,0.0,0.0
2023-01-10 05:00:00-05:00,120.62,122.1,120.61,121.88,0,0.0,0.0
2023-01-10 06:00:00-05:00,121.88,121.97,120.88,121.38,0,0.0,0.0
2023-01-10 07:00:00-05:00,121.42,121.44,117.18,117.9,0,0.0,0.0
2023-01-10 08:00:00-05:00,117.87,122.0985,117.18,118.44,0,0.0,0.0
2023-01-10 09:00:00-05:00,118.465,121.44,118.35,121.28,0,0.0,0.0
2023-01-10 09:30:00-05:00,121.12999725341797,122.76000213623047,117.36000061035156,117.85990142822266,54362631,0.0,0.0
2023-01-10 10:30:00-05:00,117.8499984741211,117.87000274658203,114.91999816894531,116.58000183105469,31594733,0.0,0.0
2023-01-10 11:30:00-05:00,116.57499694824219,117.04000091552734,115.70999908447266,116.12000274658203,16564910,0.0,0.0
2023-01-10 12:30:00-05:00,116.11489868164062,118.05000305175781,116.04000091552734,117.5199966430664,17280352,0.0,0.0
2023-01-10 13:30:00-05:00,117.5166015625,118.25,117.01000213623047,117.70099639892578,16027521,0.0,0.0
2023-01-10 14:30:00-05:00,117.70999908447266,117.93000030517578,116.6500015258789,117.58000183105469,15313322,0.0,0.0
2023-01-10 15:30:00-05:00,117.58390045166016,118.87999725341797,117.58390045166016,118.8499984741211,12818913,0.0,0.0
2023-01-10 16:00:00-05:00,118.84,118.87,110.67127,118.38,0,0.0,0.0
2023-01-10 17:00:00-05:00,118.85,125.22119,118.07714,118.66,0,0.0,0.0
2023-01-10 18:00:00-05:00,118.66,118.69,118.5,118.59,0,0.0,0.0
