Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-17 04:00:00-05:00,239.18,240.8,238.02,238.51,0,0.0,0.0
2023-01-17 05:00:00-05:00,238.42,239.2,238.42,238.95,0,0.0,0.0
2023-01-17 06:00:00-05:00,238.95,239.2,238.75,238.9,0,0.0,0.0
2023-01-17 07:00:00-05:00,238.82,239.3,238.68,239.3,0,0.0,0.0
2023-01-17 08:00:00-05:00,239.3,239.37,235.6,236.5,0,0.0,0.0
2023-01-17 09:00:00-05:00,236.5,236.8,236.01,236.6101,0,0.0,0.0
2023-01-17 09:30:00-05:00,237.97000122070312,240.91000366210938,237.08999633789062,240.16000366210938,7162897,0.0,0.0
2023-01-17 10:30:00-05:00,240.17999267578125,240.27000427246094,238.17999267578125,238.7899932861328,3350391,0.0,0.0
2023-01-17 11:30:00-05:00,238.77999877929688,239.6300048828125,238.74000549316406,239.17999267578125,2128090,0.0,0.0
2023-01-17 12:30:00-05:00,239.17999267578125,239.72999572753906,239.11000061035156,239.49000549316406,1431534,0.0,0.0
2023-01-17 13:30:00-05:00,239.49000549316406,240.7899932861328,239.35000610351562,240.14010620117188,3334287,0.0,0.0
2023-01-17 14:30:00-05:00,240.13999938964844,240.6497039794922,239.60000610351562,240.0500030517578,2067917,0.0,0.0
2023-01-17 15:30:00-05:00,240.02000427246094,240.47999572753906,239.14999389648438,240.35000610351562,3169169,0.0,0.0
2023-01-17 16:00:00-05:00,240.35,240.5,239.7391,240.13,0,0.0,0.0
2023-01-17 17:00:00-05:00,240.2,242.8625,240.01,240.15,0,0.0,0.0
2023-01-17 18:00:00-05:00,240.09,240.35,239.0,239.27,0,0.0,0.0
