Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-01 04:00:00-05:00,144.15,144.29,143.8,144.23,0,0.0,0.0
2023-02-01 05:00:00-05:00,144.23,144.23,143.93,143.93,0,0.0,0.0
2023-02-01 06:00:00-05:00,143.95,144.1,143.9,144.05,0,0.0,0.0
2023-02-01 07:00:00-05:00,144.05,144.35,144.0,144.34,0,0.0,0.0
2023-02-01 08:00:00-05:00,144.31,144.49,143.4,144.2485,0,0.0,0.0
2023-02-01 09:00:00-05:00,144.13,144.34,142.3,144.22,0,0.0,0.0
2023-02-01 09:30:00-05:00,143.97000122070312,144.0,142.58999633789062,142.9600067138672,11912462,0.0,0.0
2023-02-01 10:30:00-05:00,142.97000122070312,143.27499389648438,142.3300018310547,142.91000366210938,7542626,0.0,0.0
2023-02-01 11:30:00-05:00,142.91000366210938,143.0050048828125,141.72000122070312,141.9600067138672,6492856,0.0,0.0
2023-02-01 12:30:00-05:00,141.9517059326172,142.27000427246094,141.83999633789062,142.00999450683594,4542380,0.0,0.0
2023-02-01 13:30:00-05:00,142.02000427246094,143.19000244140625,141.52000427246094,142.38999938964844,7713862,0.0,0.0
2023-02-01 14:30:00-05:00,142.38999938964844,145.60000610351562,141.32000732421875,145.52999877929688,17228593,0.0,0.0
2023-02-01 15:30:00-05:00,145.53500366210938,146.61000061035156,145.1300048828125,145.4600067138672,11475417,0.0,0.0
2023-02-01 16:00:00-05:00,145.45,146.25,144.71,145.7,0,0.0,0.0
2023-02-01 17:00:00-05:00,145.67,146.2,145.62,145.95,0,0.0,0.0
2023-02-01 18:00:00-05:00,145.96,146.315,145.82,146.0,0,0.0,0.0
